id,name,norm_amount,procedure
57259,bulgur s kukuřicí a hlívou ústřičnou,10,Přesunuto z Jídelníčku
57260,čínské zelí s tuňákem a vajíčkem,10,Přesunuto z Jídelníčku
57261,hermelín smažený,10,Přesunuto z Jídelníčku
57262,zeleninové lečo,10,Přesunuto z Jídelníčku
57263,bramborové krucánky,10,Přesunuto z Jídelníčku
57264,rizoto srbské,10,Přesunuto z Jídelníčku
57265,halušky mražené,10,Přesunuto z Jídelníčku
57266,těstovinové nudle se špenátem,10,Přesunuto z Jídelníčku
57267,husarská roláda,10,Přesunuto z Jídelníčku
57268,hovězí pečeně po zahradnicku,10,Přesunuto z Jídelníčku
57269,kachní stehna pečená,10,Přesunuto z Jídelníčku
57270,sýrová omáčka,10,Přesunuto z Jídelníčku
57271,jednohubky20ks,10,Přesunuto z Jídelníčku
57272,koláč s ovocem a drobenkou,10,Přesunuto z Jídelníčku
57273,spatzle se špenátem a smetanou,10,Přesunuto z Jídelníčku
57274,vejce sázená  1ks,10,Přesunuto z Jídelníčku
57275,kuře po horácku,10,Přesunuto z Jídelníčku
57276,polevka jarni,10,Přesunuto z Jídelníčku
57277,bulgur s kukurici a veprovym masem,10,Přesunuto z Jídelníčku
57278,celer smazeny,10,Přesunuto z Jídelníčku
57280,namornicke maso,10,Přesunuto z Jídelníčku
57281,pastyzrsky rizek,10,Přesunuto z Jídelníčku
57282,jatra drubezi na vine s mandlemi,10,Přesunuto z Jídelníčku
57283,skoricove sisky,10,Přesunuto z Jídelníčku
57284,polevka dynova,10,Přesunuto z Jídelníčku
57285,kureci rolada,10,Přesunuto z Jídelníčku
57286,polevka s masovymi knedlicky,10,Přesunuto z Jídelníčku
57287,pomazanka z uzeneho masa,10,Přesunuto z Jídelníčku
